TC_Blocks:	1268
Exp_Edges:	162304
Namespace(classes=7, dataset='cora', dim=1433, epochs=1, hidden=16, model='gcn', num_layers=2)
CSR (ms):	3.143
Prep. (ms):	2.098
Train (ms):	   nan	Test (ms):	   nan
==PROF== Connected to process 11868 (/home/yuke/anaconda3/envs/tcgnn/bin/python3.7)
==PROF== Disconnected from process 11868
"ID","Process ID","Process Name","Host Name","Kernel Name","Kernel Time","Context","Stream","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description"
"0","11868","python3.7","127.0.0.1","void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_32x4_nn_align1>(cutlass_80_tensorop_s1688gemm_64x64_32x4_nn_align1::Params)","2021-Feb-26 11:33:17","1","7","GPU Speed Of Light","DRAM Frequency","cycle/second","9,347,227,582.66",
"0","11868","python3.7","127.0.0.1","void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_32x4_nn_align1>(cutlass_80_tensorop_s1688gemm_64x64_32x4_nn_align1::Params)","2021-Feb-26 11:33:17","1","7","GPU Speed Of Light","SM Frequency","cycle/second","1,372,579,188.95",
"0","11868","python3.7","127.0.0.1","void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_32x4_nn_align1>(cutlass_80_tensorop_s1688gemm_64x64_32x4_nn_align1::Params)","2021-Feb-26 11:33:17","1","7","GPU Speed Of Light","Elapsed Cycles","cycle","113,853",
"0","11868","python3.7","127.0.0.1","void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_32x4_nn_align1>(cutlass_80_tensorop_s1688gemm_64x64_32x4_nn_align1::Params)","2021-Feb-26 11:33:17","1","7","GPU Speed Of Light","Memory [%]","%","21.49",
"0","11868","python3.7","127.0.0.1","void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_32x4_nn_align1>(cutlass_80_tensorop_s1688gemm_64x64_32x4_nn_align1::Params)","2021-Feb-26 11:33:17","1","7","GPU Speed Of Light","SOL DRAM","%","21.49",
"0","11868","python3.7","127.0.0.1","void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_32x4_nn_align1>(cutlass_80_tensorop_s1688gemm_64x64_32x4_nn_align1::Params)","2021-Feb-26 11:33:17","1","7","GPU Speed Of Light","Duration","nsecond","82,912",
"0","11868","python3.7","127.0.0.1","void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_32x4_nn_align1>(cutlass_80_tensorop_s1688gemm_64x64_32x4_nn_align1::Params)","2021-Feb-26 11:33:17","1","7","GPU Speed Of Light","SOL L1/TEX Cache","%","30.06",
"0","11868","python3.7","127.0.0.1","void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_32x4_nn_align1>(cutlass_80_tensorop_s1688gemm_64x64_32x4_nn_align1::Params)","2021-Feb-26 11:33:17","1","7","GPU Speed Of Light","SOL L2 Cache","%","12.07",
"0","11868","python3.7","127.0.0.1","void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_32x4_nn_align1>(cutlass_80_tensorop_s1688gemm_64x64_32x4_nn_align1::Params)","2021-Feb-26 11:33:17","1","7","GPU Speed Of Light","SM Active Cycles","cycle","58,264.48",
"0","11868","python3.7","127.0.0.1","void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_32x4_nn_align1>(cutlass_80_tensorop_s1688gemm_64x64_32x4_nn_align1::Params)","2021-Feb-26 11:33:17","1","7","GPU Speed Of Light","SM [%]","%","10.62",
"0","11868","python3.7","127.0.0.1","void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_32x4_nn_align1>(cutlass_80_tensorop_s1688gemm_64x64_32x4_nn_align1::Params)","2021-Feb-26 11:33:17","1","7","SpeedOfLight","","","","SOLBottleneck","WRN","This kernel grid is too small to fill the available resources on this device, resulting in only 0.5 full waves across all SMs. Look at Launch Statistics for more details."
